"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"957","11","Jay Beagle","31","RW","81","13","17","30","20","22","15","0","2","4","100","13.0","1104","13:38","1.6","1.9","3.5","44","55","624","483","56.4","WSH"
"958","12","Lars Eller","27","C","81","12","13","25","15","36","12","1","0","2","115","10.4","1126","13:54","0.9","1.7","2.6","30","71","416","467","47.1","WSH"
"959","13","Daniel Winnik","31","LW","72","12","13","25","15","49","13","0","0","3","82","14.6","930","12:55","1.4","1.5","3.0","34","25","9","12","42.9","WSH"
"960","14","Brett Connolly","24","RW","66","15","8","23","20","40","8","0","0","3","81","18.5","706","10:41","2.2","1.5","3.7","12","89","4","10","28.6","WSH"
"961","15","Tom Wilson","22","RW","82","7","12","19","9","133","12","0","0","0","95","7.4","1060","12:56","-0.1","1.4","1.3","44","239","3","7","30.0","WSH"
"962","16","Nate Schmidt","25","D","60","3","14","17","22","16","13","0","1","0","60","5.0","929","15:29","1.0","3.5","4.5","37","51","0","0","","WSH"
"963","17","Kevin Shattenkirk","28","D","19","2","12","14","4","10","6","6","0","2","46","4.3","384","20:12","1.3","1.0","2.3","26","18","0","0","","WSH"
"964","18","Brooks Orpik","36","D","79","0","14","14","32","48","14","0","0","0","93","0.0","1405","17:47","-0.2","5.2","5.0","132","181","0","0","","WSH"
"965","19","Karl Alzner","28","D","82","3","10","13","23","28","10","0","0","0","81","3.7","1623","19:47","-0.3","4.8","4.6","162","105","0","0","","WSH"
"966","20","Jakub Vrana","20","LW","21","3","3","6","2","2","2","1","0","2","32","9.4","233","11:07","0.3","0.3","0.6","7","6","0","3","0.0","WSH"
"967","21","Taylor Chorney","29","D","18","1","4","5","8","11","4","0","0","1","19","5.3","257","14:16","0.3","1.1","1.5","29","27","0","0","","WSH"
"968","22","Zachary Sanford","22","C","26","2","1","3","0","6","1","0","0","1","23","8.7","264","10:09","-0.2","0.3","0.1","10","18","10","8","55.6","WSH"
"969","23","Riley Barber","22","RW","3","0","0","0","0","0","0","0","0","0","2","0.0","26","8:35","-0.1","0.0","0.0","0","1","0","0","","WSH"
"970","24","Paul Carey","28","C","6","0","0","0","-2","0","0","0","0","0","8","0.0","63","10:29","-0.2","0.0","-0.2","1","5","0","0","","WSH"
"971","25","Philipp Grubauer","25","G","24","0","0","0","0","0","0","0","0","0","0","","1265","52:41","0.0","0.0","4.4","0","0","0","0","","WSH"
